Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,80.930000,88.730003,78.629997,88.720001,84.463455,43087500
2023-02-01,88.260002,93.320000,81.639999,83.110001,79.122604,38868100
2023-03-01,82.269997,84.309998,72.750000,78.269997,74.514801,66757900
2023-04-01,78.230003,79.120003,71.129997,74.519997,71.794029,36951000
2023-05-01,74.650002,75.989998,68.430000,72.669998,70.011711,57728800
2023-06-01,72.339996,83.489998,70.389999,81.949997,78.952232,50966900
2023-07-01,82.190002,85.400002,79.129997,83.050003,80.974991,39039100
2023-08-01,83.019997,83.349998,72.209999,76.449997,74.539886,55490400
2023-09-01,76.690002,76.879997,67.699997,69.470001,67.734291,41064500
2023-10-01,69.550003,72.489998,64.070000,66.820000,65.989151,44962300
2023-11-01,66.669998,71.650002,62.299999,70.940002,70.057922,71441600
2023-12-01,70.970001,78.949997,70.680000,78.279999,77.306656,57602500
2024-01-01,78.250000,79.540001,69.660004,72.489998,72.489998,60605700
