Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,481.100006,499.859985,465.329987,496.869995,482.301300,48864100
2023-04-01,496.500000,513.130005,477.500000,503.220001,488.465088,33746900
2023-05-01,499.149994,514.789978,476.750000,511.559998,496.560577,43431100
2023-06-01,509.329987,539.559998,502.100006,538.380005,523.684143,35244100
2023-07-01,537.250000,571.159973,524.630005,560.669983,545.365662,36890200
2023-08-01,560.630005,569.210022,530.559998,549.280029,534.286682,32425300
2023-09-01,553.070007,572.179993,540.179993,564.960022,550.576965,33935700
2023-10-01,567.909973,577.299988,540.229980,552.440002,538.375671,39764300
2023-11-01,555.000000,599.940002,549.650024,592.739990,577.649658,34716100
2023-12-01,593.280029,681.909973,590.590027,660.080017,644.455933,54545700
2024-01-01,655.580017,705.520020,640.510010,694.880005,693.859985,44180200
2024-02-01,694.000000,728.169983,691.500000,724.510010,723.446533,20363800
2024-02-15,721.489990,726.025024,718.280029,724.510010,724.510010,1181746
